sample_global_index,mean_loss,num_rows
0,16146.32421875,1
1,809.181884765625,1
10,6107.736328125,1
11,2268.574462890625,1
12,18203.30859375,1
13,1453.5771484375,1
14,5395.0830078125,1
15,1378.391845703125,1
16,18865.484375,1
17,1597.21484375,1
18,4852.18310546875,1
19,947.813232421875,1
2,5885.09375,1
20,18597.234375,1
21,1902.4642333984375,1
22,4765.640625,1
23,1068.86669921875,1
24,17439.314453125,1
25,2612.26171875,1
26,5527.6064453125,1
27,1333.522705078125,1
28,16712.03125,1
29,3603.546142578125,1
3,4716.33544921875,1
30,6788.357421875,1
31,1792.798828125,1
32,16596.01953125,1
33,4999.92041015625,1
34,7632.6328125,1
35,2943.8779296875,1
36,16966.65234375,1
37,6555.46875,1
38,7747.939453125,1
39,5050.1865234375,1
4,16470.6171875,1
40,17463.2265625,1
41,7518.283203125,1
42,7077.9775390625,1
43,8186.5771484375,1
44,17781.919921875,1
45,7756.02978515625,1
46,5953.02099609375,1
47,10896.427734375,1
48,17177.3828125,1
49,7346.64990234375,1
5,1089.8779296875,1
50,4637.95751953125,1
51,12355.556640625,1
52,16403.85546875,1
53,7149.0673828125,1
54,3116.43310546875,1
55,12426.0478515625,1
56,16190.201171875,1
57,7078.53759765625,1
58,2174.44091796875,1
59,11677.166015625,1
6,6079.17919921875,1
60,16711.38671875,1
61,6766.2216796875,1
62,1904.919677734375,1
63,10950.78515625,1
64,16884.75390625,1
65,5955.7470703125,1
66,1899.439208984375,1
67,10317.3681640625,1
68,15975.5322265625,1
69,4900.8134765625,1
7,3641.072998046875,1
70,1980.7337646484375,1
71,9168.8515625,1
72,14327.294921875,1
73,3933.78564453125,1
74,2018.136474609375,1
75,7879.93212890625,1
76,12183.1953125,1
77,3235.134765625,1
78,1964.14892578125,1
79,5886.5244140625,1
8,17230.46875,1
80,9872.7919921875,1
9,1317.1220703125,1
